DAY_OF_MONTH,DAY_OF_WEEK,OP_UNIQUE_CARRIER,OP_CARRIER_AIRLINE_ID,OP_CARRIER,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST,DEP_TIME,DEP_DEL15,DEP_TIME_BLK,ARR_TIME,ARR_DEL15,CANCELLED,DIVERTED,DISTANCE
1,2,9E,20363,9E,N8688C,3280,11953,1195302,GNV,10397,1039707,ATL,601,0,0600-0659,722,0,0,0,300
1,2,9E,20363,9E,N348PQ,3281,13487,1348702,MSP,11193,1119302,CVG,1359,0,1400-1459,1633,0,0,0,596
1,2,9E,20363,9E,N8896A,3282,11433,1143302,DTW,11193,1119302,CVG,1215,0,1200-1259,1329,0,0,0,229
1,2,9E,20363,9E,N8886A,3283,15249,1524906,TLH,10397,1039707,ATL,1521,0,1500-1559,1625,0,0,0,223
1,2,9E,20363,9E,N8974C,3284,10397,1039707,ATL,11778,1177801,FSM,1847,0,1900-1959,1940,0,0,0,579
1,2,9E,20363,9E,N927EV,3285,11267,1126702,DAY,13487,1348702,MSP,853,0,0900-0959,953,0,0,0,574
1,2,9E,20363,9E,N915XJ,3286,12448,1244807,JAN,10397,1039707,ATL,1553,0,1500-1559,1832,0,0,0,341
1,2,9E,20363,9E,N295PQ,3287,12953,1295304,LGA,11193,1119302,CVG,1551,0,1500-1559,1824,0,0,0,585
1,2,9E,20363,9E,N337PQ,3288,12451,1245102,JAX,12953,1295304,LGA,1037,0,1000-1059,1239,0,0,0,833
1,2,9E,20363,9E,N311PQ,3289,10397,1039707,ATL,10685,1068502,BMI,1245,0,1200-1259,1318,0,0,0,533
1,2,9E,20363,9E,N311PQ,3289,10685,1068502,BMI,10397,1039707,ATL,1410,0,1400-1459,1700,0,0,0,533
1,2,9E,20363,9E,N931XJ,3290,10874,1087402,CAK,10397,1039707,ATL,557,0,0600-0659,737,0,0,0,528
1,2,9E,20363,9E,N800AY,3291,11433,1143302,DTW,11267,1126702,DAY,1552,0,1500-1559,1738,1,0,0,166
1,2,9E,20363,9E,N927EV,3292,13487,1348702,MSP,11267,1126702,DAY,2029,0,2000-2059,2259,0,0,0,574
1,2,9E,20363,9E,N600LR,3293,14100,1410005,PHL,11433,1143302,DTW,1312,0,1300-1359,1454,0,0,0,453
1,2,9E,20363,9E,N840AY,3294,12478,1247805,JFK,14524,1452401,RIC,1450,0,1400-1459,1637,0,0,0,288
1,2,9E,20363,9E,N232PQ,3295,11433,1143302,DTW,11618,1161802,EWR,1353,1,1200-1259,1521,1,0,0,488
1,2,9E,20363,9E,N8970D,3296,10208,1020803,AGS,10397,1039707,ATL,1148,0,1100-1159,1236,0,0,0,143
1,2,9E,20363,9E,N8970D,3296,10397,1039707,ATL,10208,1020803,AGS,1020,0,1000-1059,1111,0,0,0,143
1,2,9E,20363,9E,N304PQ,3297,11433,1143302,DTW,11193,1119302,CVG,817,0,0800-0859,932,0,0,0,229
1,2,9E,20363,9E,N931XJ,3298,12992,1299206,LIT,10397,1039707,ATL,1523,0,1500-1559,1748,0,0,0,453
1,2,9E,20363,9E,N902XJ,3299,12339,1233904,IND,13487,1348702,MSP,1111,0,1100-1159,1157,0,0,0,503
1,2,9E,20363,9E,N349PQ,3300,10397,1039707,ATL,13795,1379502,OAJ,2216,0,2200-2259,16,1,0,0,399
1,2,9E,20363,9E,N8928A,3301,10397,1039707,ATL,11953,1195302,GNV,1554,0,1600-1659,1713,0,0,0,300
1,2,9E,20363,9E,N8928A,3301,11953,1195302,GNV,10397,1039707,ATL,1740,0,1700-1759,1903,0,0,0,300
1,2,9E,20363,9E,N371CA,3302,10397,1039707,ATL,11624,1162402,EYW,1101,0,1100-1159,1300,0,0,0,646
1,2,9E,20363,9E,N371CA,3302,11624,1162402,EYW,10397,1039707,ATL,1332,0,1300-1359,1532,0,0,0,646
1,2,9E,20363,9E,N8836A,3303,13487,1348702,MSP,11203,1120302,CWA,1349,0,1300-1359,1442,0,0,0,175
1,2,9E,20363,9E,N918XJ,3304,10868,1086803,CAE,10397,1039707,ATL,807,0,0800-0859,914,0,0,0,192
1,2,9E,20363,9E,N8896A,3305,11203,1120302,CWA,11433,1143302,DTW,834,0,0800-0859,1111,0,0,0,363
1,2,9E,20363,9E,N8908D,3306,10208,1020803,AGS,10397,1039707,ATL,1637,0,1600-1659,1728,0,0,0,143
1,2,9E,20363,9E,N8908D,3306,10397,1039707,ATL,10208,1020803,AGS,1516,0,1500-1559,1605,0,0,0,143
1,2,9E,20363,9E,N602LR,3307,10397,1039707,ATL,10868,1086803,CAE,1242,0,1200-1259,1338,0,0,0,192
1,2,9E,20363,9E,N8908D,3308,10397,1039707,ATL,13277,1327702,MGM,1957,0,2000-2059,1950,0,0,0,147
1,2,9E,20363,9E,N181PQ,3309,15323,1532305,TRI,10397,1039707,ATL,1136,0,1100-1159,1252,0,0,0,227
1,2,9E,20363,9E,N301PQ,3310,10721,1072102,BOS,10693,1069302,BNA,1739,0,1700-1759,1951,0,0,0,942
1,2,9E,20363,9E,N131EV,3311,10397,1039707,ATL,13029,1302902,LNK,2111,0,2100-2159,2246,0,0,0,841
1,2,9E,20363,9E,N923XJ,3312,10397,1039707,ATL,10208,1020803,AGS,2230,0,2200-2259,2325,0,0,0,143
1,2,9E,20363,9E,N8694A,3313,13277,1327702,MGM,10397,1039707,ATL,653,0,0700-0759,853,0,0,0,147
1,2,9E,20363,9E,N819AY,3314,13230,1323002,MDT,11433,1143302,DTW,1305,0,1300-1359,1442,0,0,0,371
1,2,9E,20363,9E,N676CA,3315,13342,1334207,MKE,13487,1348702,MSP,1518,0,1500-1559,1636,0,0,0,297
1,2,9E,20363,9E,N917XJ,3316,11433,1143302,DTW,15380,1538005,TVC,1542,0,1500-1559,1715,0,0,0,207
1,2,9E,20363,9E,N917XJ,3316,15380,1538005,TVC,11433,1143302,DTW,1755,0,1700-1759,1908,0,0,0,207
1,2,9E,20363,9E,N832AY,3317,11778,1177801,FSM,10397,1039707,ATL,1550,0,1500-1559,1859,1,0,0,579
1,2,9E,20363,9E,N8928A,3318,10397,1039707,ATL,14108,1410803,PIA,2009,0,2000-2059,2049,0,0,0,565
1,2,9E,20363,9E,N135EV,3320,10397,1039707,ATL,10599,1059904,BHM,854,0,0800-0859,854,0,0,0,134
1,2,9E,20363,9E,N147PQ,3320,10599,1059904,BHM,10397,1039707,ATL,931,0,0900-0959,1134,0,0,0,134
1,2,9E,20363,9E,N8839E,3321,11433,1143302,DTW,10434,1043405,AVP,1234,0,1200-1259,1345,0,0,0,399
1,2,9E,20363,9E,N932XJ,3322,11433,1143302,DTW,12884,1288403,LAN,2036,0,2000-2059,2233,1,0,0,74
1,2,9E,20363,9E,N920XJ,3323,10397,1039707,ATL,15412,1541205,TYS,2210,0,2200-2259,2252,0,0,0,152
1,2,9E,20363,9E,N294PQ,3324,12953,1295304,LGA,14122,1412202,PIT,1755,0,1800-1859,1927,0,0,0,335
1,2,9E,20363,9E,N341PQ,3325,12953,1295304,LGA,12451,1245102,JAX,1627,0,1600-1659,1913,0,0,0,833
1,2,9E,20363,9E,N200PQ,3326,12448,1244807,JAN,10397,1039707,ATL,727,0,0700-0759,1003,0,0,0,341
1,2,9E,20363,9E,N835AY,3327,10397,1039707,ATL,14108,1410803,PIA,1206,0,1200-1259,1246,0,0,0,565
1,2,9E,20363,9E,N835AY,3327,14108,1410803,PIA,10397,1039707,ATL,1353,0,1400-1459,1651,0,0,0,565
1,2,9E,20363,9E,N905XJ,3328,11193,1119302,CVG,13487,1348702,MSP,817,1,0700-0759,900,1,0,0,596
1,2,9E,20363,9E,N8946A,3329,10397,1039707,ATL,12007,1200704,GTR,1617,0,1600-1659,1621,0,0,0,241
1,2,9E,20363,9E,N8908D,3330,12007,1200704,GTR,10397,1039707,ATL,636,0,0600-0659,850,0,0,0,241
1,2,9E,20363,9E,N936XJ,3331,14730,1473003,SDF,13487,1348702,MSP,1729,0,1700-1759,1829,0,0,0,604
1,2,9E,20363,9E,N605LR,3332,10397,1039707,ATL,10868,1086803,CAE,907,0,0900-0959,958,0,0,0,192
1,2,9E,20363,9E,N605LR,3332,10868,1086803,CAE,10397,1039707,ATL,1049,0,1000-1059,1150,0,0,0,192
1,2,9E,20363,9E,N301PQ,3333,10693,1069302,BNA,10721,1072102,BOS,2034,0,2000-2059,2343,0,0,0,942
1,2,9E,20363,9E,N907XJ,3334,14683,1468305,SAT,13487,1348702,MSP,744,0,0700-0759,1010,0,0,0,1097
1,2,9E,20363,9E,N904XJ,3335,12951,1295106,LFT,10397,1039707,ATL,553,0,0600-0659,827,0,0,0,503
1,2,9E,20363,9E,N8694A,3337,10397,1039707,ATL,15412,1541205,TYS,1742,0,1700-1759,1832,0,0,0,152
1,2,9E,20363,9E,N820AY,3338,10397,1039707,ATL,13277,1327702,MGM,1021,0,1000-1059,1014,0,0,0,147
1,2,9E,20363,9E,N833AY,3338,13277,1327702,MGM,10397,1039707,ATL,1411,1,1100-1159,1558,1,0,0,147
1,2,9E,20363,9E,N902XJ,3339,13485,1348502,MSN,13487,1348702,MSP,1518,0,1500-1559,1626,0,0,0,228
1,2,9E,20363,9E,N902XJ,3339,13487,1348702,MSP,13485,1348502,MSN,1325,0,1300-1359,1418,0,0,0,228
1,2,9E,20363,9E,N324PQ,3340,11433,1143302,DTW,12478,1247805,JFK,2006,0,2000-2059,2224,1,0,0,509
1,2,9E,20363,9E,N903XJ,3341,11423,1142307,DSM,13487,1348702,MSP,1715,0,1700-1759,1816,0,0,0,232
1,2,9E,20363,9E,N903XJ,3341,13487,1348702,MSP,11423,1142307,DSM,1514,0,1500-1559,1617,0,0,0,232
1,2,9E,20363,9E,N8775A,3342,11433,1143302,DTW,11612,1161206,EVV,1530,0,1500-1559,1629,0,0,0,363
1,2,9E,20363,9E,N176PQ,3343,10397,1039707,ATL,13230,1323002,MDT,936,0,0900-0959,1116,0,0,0,620
1,2,9E,20363,9E,N176PQ,3343,13230,1323002,MDT,10397,1039707,ATL,1156,0,1200-1259,1359,0,0,0,620
1,2,9E,20363,9E,N905XJ,3344,13487,1348702,MSP,13871,1387102,OMA,939,1,0800-0859,1043,0,0,0,282
1,2,9E,20363,9E,N8839E,3346,11612,1161206,EVV,11433,1143302,DTW,824,0,0800-0859,1035,0,0,0,363
1,2,9E,20363,9E,N8936A,3347,11193,1119302,CVG,11433,1143302,DTW,1014,0,1000-1059,1116,0,0,0,229
1,2,9E,20363,9E,N606LR,3348,10397,1039707,ATL,10431,1043105,AVL,912,0,0900-0959,1005,0,0,0,164
1,2,9E,20363,9E,N153PQ,3349,10208,1020803,AGS,10397,1039707,ATL,601,0,0600-0659,704,0,0,0,143
1,2,9E,20363,9E,N311PQ,3350,10135,1013505,ABE,10397,1039707,ATL,557,0,0600-0659,819,0,0,0,692
1,2,9E,20363,9E,N8877A,3351,10397,1039707,ATL,14814,1481402,SHV,1621,0,1600-1659,1706,0,0,0,551
1,2,9E,20363,9E,N925XJ,3353,11278,1127805,DCA,12478,1247805,JFK,1651,0,1700-1759,1831,0,0,0,213
1,2,9E,20363,9E,N981EV,3354,10821,1082106,BWI,12478,1247805,JFK,1835,0,1800-1859,1952,0,0,0,184
1,2,9E,20363,9E,N833AY,3355,10397,1039707,ATL,12323,1232305,ILM,1701,1,1600-1659,1814,0,0,0,377
1,2,9E,20363,9E,N833AY,3355,12323,1232305,ILM,10397,1039707,ATL,1840,0,1800-1859,2010,0,0,0,377
1,2,9E,20363,9E,N835AY,3356,15412,1541205,TYS,10397,1039707,ATL,830,0,0800-0859,940,0,0,0,152
1,2,9E,20363,9E,N832AY,3357,10397,1039707,ATL,11617,1161708,EWN,1952,0,1900-1959,2115,0,0,0,433
1,2,9E,20363,9E,N934XJ,3358,12451,1245102,JAX,12953,1295304,LGA,1454,0,1500-1559,1700,0,0,0,833
1,2,9E,20363,9E,N905XJ,3359,13487,1348702,MSP,12003,1200305,GTF,1936,0,1900-1959,2049,0,0,0,887
1,2,9E,20363,9E,N601LR,3360,11203,1120302,CWA,13487,1348702,MSP,651,0,0600-0659,743,0,0,0,175
1,2,9E,20363,9E,N336PQ,3361,13487,1348702,MSP,14492,1449202,RDU,1116,0,1100-1159,1445,0,0,0,980
1,2,9E,20363,9E,N833AY,3362,10397,1039707,ATL,11953,1195302,GNV,2219,0,2200-2259,2325,0,0,0,300
1,2,9E,20363,9E,N398CA,3363,10397,1039707,ATL,12945,1294503,LEX,1451,0,1400-1459,1601,0,0,0,304
1,2,9E,20363,9E,N398CA,3363,12945,1294503,LEX,10397,1039707,ATL,1644,0,1600-1659,1817,0,0,0,304
1,2,9E,20363,9E,N8891A,3364,11433,1143302,DTW,15412,1541205,TYS,843,0,0800-0859,1017,0,0,0,443
1,2,9E,20363,9E,N302PQ,3365,10397,1039707,ATL,10135,1013505,ABE,1743,0,1700-1759,1931,0,0,0,692
1,2,9E,20363,9E,N820AY,3366,14108,1410803,PIA,10397,1039707,ATL,549,0,0001-0559,842,0,0,0,565
