x,y,labels
3.870967741935485,6.590909090909092,1.0
4.657258064516129,5.698051948051949,1.0
4.415322580645161,8.782467532467534,1.0
3.084677419354839,7.727272727272728,1.0
2.358870967741936,8.45779220779221,1.0
2.600806451612903,10.081168831168833,1.0
3.991935483870967,8.62012987012987,1.0
5.201612903225807,6.753246753246755,1.0
5.625000000000001,5.292207792207792,1.0
5.564516129032259,3.262987012987013,1.0
3.991935483870967,3.1818181818181825,1.0
2.963709677419355,5.2110389610389625,1.0
2.298387096774194,7.2402597402597415,1.0
3.205645161290323,8.863636363636365,1.0
5.564516129032259,9.26948051948052,1.0
6.653225806451613,7.80844155844156,1.0
7.439516129032259,5.373376623376624,1.0
7.258064516129033,3.3441558441558445,1.0
6.834677419354839,3.262987012987013,1.0
6.532258064516129,6.50974025974026,1.0
5.262096774193549,9.675324675324676,1.0
4.959677419354839,11.379870129870131,1.0
6.955645161290323,10.000000000000002,1.0
9.072580645161292,6.9155844155844175,1.0
9.254032258064516,3.425324675324676,1.0
7.318548387096775,4.39935064935065,1.0
5.625000000000001,8.62012987012987,1.0
4.536290322580645,10.405844155844157,1.0
8.044354838709676,9.756493506493507,1.0
10.887096774193548,3.75,1.0
11.794354838709676,2.938311688311689,1.0
10.403225806451612,8.701298701298702,1.0
9.495967741935484,12.02922077922078,1.0
6.411290322580645,14.464285714285717,1.0
4.596774193548387,13.571428571428575,1.0
2.842741935483871,12.435064935064938,1.0
5.141129032258065,10.56818181818182,1.0
7.076612903225807,11.21753246753247,1.0
10.100806451612904,8.782467532467534,1.0
11.491935483870968,4.39935064935065,1.0
12.52016129032258,4.642857142857144,1.0
11.129032258064516,11.623376623376625,1.0
8.649193548387096,11.704545454545457,1.0
6.834677419354839,12.922077922077923,1.0
3.870967741935485,13.084415584415586,1.0
5.987903225806451,12.191558441558444,1.0
5.383064516129033,15.35714285714286,1.0
3.084677419354839,16.16883116883117,1.0
2.17741935483871,14.220779220779223,1.0
3.689516129032259,14.87012987012987,1.0
19.536290322580644,24.935064935064936,2.0
19.536290322580644,24.935064935064936,2.0
19.536290322580644,24.935064935064936,2.0
18.024193548387096,26.558441558441565,2.0
16.633064516129032,25.74675324675325,2.0
19.475806451612904,22.337662337662344,2.0
21.411290322580644,22.01298701298702,2.0
23.346774193548388,23.14935064935065,2.0
24.314516129032256,20.38961038961039,2.0
24.133064516129032,24.935064935064936,2.0
21.048387096774192,27.28896103896104,2.0
19.112903225806452,25.17857142857143,2.0
21.471774193548388,23.392857142857146,2.0
24.97983870967742,22.256493506493513,2.0
23.951612903225808,17.142857142857146,2.0
20.262096774193548,21.769480519480524,2.0
18.991935483870968,24.20454545454546,2.0
14.939516129032256,24.285714285714292,2.0
16.814516129032256,19.009740259740262,2.0
20.866935483870968,16.81818181818182,2.0
24.314516129032256,14.707792207792211,2.0
25.887096774193548,23.311688311688314,2.0
21.89516129032258,26.88311688311689,2.0
13.366935483870968,28.181818181818187,2.0
13.971774193548388,23.474025974025977,2.0
15.846774193548388,20.47077922077922,2.0
17.842741935483872,22.58116883116883,2.0
20.625,19.49675324675325,2.0
21.471774193548388,18.766233766233768,2.0
24.616935483870968,16.006493506493506,2.0
25.826612903225808,20.714285714285715,2.0
26.91532258064516,24.853896103896105,2.0
28.06451612903226,24.366883116883123,2.0
26.673387096774192,17.95454545454546,2.0
22.741935483870968,17.95454545454546,2.0
19.052419354838708,23.230519480519483,2.0
14.697580645161288,24.69155844155845,2.0
12.822580645161288,20.146103896103902,2.0
16.391129032258064,17.224025974025977,2.0
22.620967741935484,13.977272727272728,2.0
26.491935483870968,16.25,2.0
21.89516129032258,21.60714285714286,2.0
14.032258064516128,24.69155844155845,2.0
12.580645161290324,25.0974025974026,2.0
10.887096774193548,23.230519480519483,2.0
15.725806451612904,20.47077922077922,2.0
16.814516129032256,24.610389610389618,2.0
16.57258064516129,28.019480519480524,2.0
20.866935483870968,28.100649350649356,2.0
25.887096774193548,25.17857142857143,2.0
